"Source:","C:\Users\veraf\Documents\VeraProjects\KXR\powerBoard\KiCad\KXRPowerBoardV2\KXRPowerBoardV2.kicad_sch"
"Date:","1/25/2023 4:23:05 PM"
"Tool:","Eeschema (6.0.6)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","138"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","COLOR","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","STANDARD"
"13","13","C11, C14, C15, C16, C17, C18, C19, C20, C24, C25, C26, C27, C28","0.1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"14","3","C12, C13, C36","10pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"15","1","C21","10nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"16","3","C22, C23, C35","1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"17","2","C30, C32","10uF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","","","",""
"18","1","C31","6.8nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","",""
"19","1","CAN1","CAN","Connector:Conn_01x03_Male","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","","","","",""
"20","1","FB1","120","Device:FerriteBead_Small","Inductor_SMD:L_0603_1608Metric","~","","","","",""
"21","1","J1","NOSECONE","436500203:436500203","Footprints:MOLEX_436500203","","","Molex","5.57 mm","F3","Manufacturer Recommendations"
"22","1","J2","EXPERIMENTS","436500203:436500203","Footprints:MOLEX_436500203","","","Molex","5.57 mm","F3","Manufacturer Recommendations"
"23","1","J3","CAMERA","436500203:436500203","Footprints:MOLEX_436500203","","","Molex","5.57 mm","F3","Manufacturer Recommendations"
"24","1","J4","AVIONICS","436500203:436500203","Footprints:MOLEX_436500203","","","Molex","5.57 mm","F3","Manufacturer Recommendations"
"25","1","J5","AUX","436500203:436500203","Footprints:MOLEX_436500203","","","Molex","5.57 mm","F3","Manufacturer Recommendations"
"26","1","J6","12V","436500203:436500203","Footprints:MOLEX_436500203","","","Molex","5.57 mm","F3","Manufacturer Recommendations"
"27","1","JP1","TERMINATION","Jumper:SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","","","","",""
"28","2","L1, L2","2.2uH","pspice:INDUCTOR","Footprints:XAL7070-222MEC","~","","","","",""
"29","1","L3","4.7uH","pspice:INDUCTOR","Footprints:MGAH06034R7M","~","","","","",""
"30","1","LED1","STAT1","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","GREEN","","","",""
"31","1","LED2","STAT2","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","GREEN","","","",""
"32","1","LED3","FET4","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","ORANGE","","","",""
"33","1","LED4","FET2","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","ORANGE","","","",""
"34","1","LED5","5V","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","RED","","","",""
"35","1","LED6","3V3","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","RED","","","",""
"36","1","LED7","FET1","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","ORANGE","","","",""
"37","1","LED8","FET3","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","ORANGE","","","",""
"38","1","LED9","FET5","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","ORANGE","","","",""
"39","6","Q3, Q4, Q5, Q9, Q10, Q11","BC846AWHE3","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-323_SC-70","~","","","","",""
"40","1","R1","316k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"41","2","R2, R3","150k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"42","22","R4, R5, R10, R11, R12, R14, R16, R17, R18, R19, R27, R28, R29, R30, R31, R32, R33, R34, R35, R41, R42, R43","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"43","1","R6","100k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"44","1","R7","5.23k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"45","8","R8, R9, R22, R23, R38, R39, R40, R46","200","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"46","1","R13","604K","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"47","1","R15","20","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"48","2","R20, R24","68.1K 0.1%","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"49","2","R21, R25","10K 0.1%","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"50","1","R26","120","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"51","1","R36","15k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"52","1","R37","68","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"53","1","R44","7.68k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"54","1","R45","40.2k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"55","1","RESET1","RESET","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","",""
"56","1","SWD1","SWD","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","",""
"57","2","U1, U2","LT8642S","LT8642S:LT8642S","Footprints:LT8642SIVPBF","","","","","",""
"58","7","U3, U5, U6, U7, U9, U10, U11","ACS711xLCTR-25AB","Sensor_Current:ACS711xLCTR-25AB","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.allegromicro.com/~/Media/Files/Datasheets/ACS711-Datasheet.ashx","","","","",""
"59","1","U4","STM32F103C8Tx","MCU_ST_STM32F1:STM32F103C8Tx","Package_QFP:LQFP-48_7x7mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00161566.pdf","","","","",""
"60","1","U8","SN65HVDA1040BQDRQ1","Interface_CAN_LIN:SN65HVD257D","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.ti.com/lit/ds/symlink/sn65hvd257.pdf","","","","",""
"61","1","U12","MP2393","MP2393:MP2393","Footprints:SOTFL50P160X60-8N","","","","","",""
"62","1","U13","LD1117S33TR_SOT223","Regulator_Linear:LD1117S33TR_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf","","","","",""
"63","5","U14, U15, U16, U17, U18","DMP26M7UFG","DMP26M7UFG:DMP26M7UFG","Package_SON:Diodes_PowerDI3333-8","","","","","",""
"64","1","UART1","UART","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","",""
"65","1","Y1","8MHz","Device:Crystal_GND24","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~","","","","",""
